source_batch,group_id,provider,model,choice,confidence,reasoning,edge_set,latency_s,timestamp,error,pack_feedback,abstain_reason,invocation_route,evidence_delivery,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,attempt,none_reason,desired_edges
us_seattle_sidewalks_w0707,8d77ba9c,codex,gpt-5.5,NONE,0.96,"R1 is a residential road while T1 is a footway. Although the red and blue geometries run close and overlap for much of the span, they represent different physical feature classes, so the road-to-footway match should be excluded.",[],5.8,2026-07-07T01:54:47.171941+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,8d77ba9c,agy,Gemini 3.5 Flash (Medium),A,0.95,"Option A is the most complete and accurate option. It correctly includes e2, e3, and e4 to match all three overlapping reference segments (R542, R1446, R1976) to target T2, covering its entire length along the same path. It also correctly excludes all sliver junction artifacts.","[[""db618db8-8553-4c79-bb06-51e3e929cc33"", ""sea_sidewalk_27189108_8828d55013""]]",67.51,2026-07-07T01:55:48.881213+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,d35b4619,claude,claude-opus-4-8,E,0.82,"Single Waterfront Trail corridor, all footway class (no cross-mode issue), with many parallel target footway segments. The strong edges (120-136m overlaps, full target alignment) are correct. The three BORDERLINE junction-kisses e2 (R1->T9, 7m), e18 (R3->T6, 9m), e19 (R1->T4, 7m) should be excluded: T9 and T4 truly correspond to R2 via strong 122m overlaps (e17, e16), not to R1's 7m clip. Option E includes exactly the 16 non-borderline strong edges (including e16 and e17) and excludes all three junction-kiss slivers. Option A (optimizer) wrongly retains junction-kiss e2.","[[""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160036_8828d542cb""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160057_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160249_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194369_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194405_8828d55535""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149785_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149962_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150518_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150773_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160275_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160276_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160277_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160278_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160279_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27194371_8828d542c9""], [""fba7efc1-f665-4b72-a91e-ab559b83289f"", ""sea_sidewalk_27160034_8828d542cb""]]",36.98,2026-07-07T02:07:31.280477+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,d35b4619,codex,gpt-5.5,E,0.78,"Option E keeps the long, well-overlapping same-trail correspondences across the corridor, including the R2 to T9/T4 continuation area, while excluding the tiny R1->T9 junction-kiss edge. The other added borderline edges R1->T4 and R3->T6 also look like short endpoint artifacts rather than meaningful shared physical road overlap.","[[""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160036_8828d542cb""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160057_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160249_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194369_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194405_8828d55535""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149785_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149962_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150518_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150773_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160275_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160276_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160277_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160278_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160279_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27194371_8828d542c9""], [""fba7efc1-f665-4b72-a91e-ab559b83289f"", ""sea_sidewalk_27160034_8828d542cb""]]",17.49,2026-07-07T02:07:11.785842+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_w0707,d35b4619,agy,Gemini 3.5 Flash (Medium),A,0.95,"Option A is the most complete and accurate option. It correctly includes e2, e3, and e4 to match all three overlapping reference segments (R542, R1446, R1976) to target T2, covering its entire length along the same path. It also correctly excludes all sliver junction artifacts.","[[""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160036_8828d542cb""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160057_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160249_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27160275_8828d542c9""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194369_8828d55535""], [""6355387e-34b3-499f-8006-0672403e1dd7"", ""sea_sidewalk_27194405_8828d55535""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149785_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27149962_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150518_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27150773_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160275_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160276_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160277_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160278_8828d542c9""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27160279_8828d55523""], [""99f74ea8-3f62-4594-b5bb-2b56635d82a9"", ""sea_sidewalk_27194371_8828d542c9""], [""fba7efc1-f665-4b72-a91e-ab559b83289f"", ""sea_sidewalk_27160034_8828d542cb""]]",47.19,2026-07-07T02:07:41.489541+00:00,,,,,,,,,,,,,,
us_seattle_sidewalks_bulk_v7_20260718,049a5b57,claude,claude-opus-4-8,A,0.6,"R1 (short blue footway) meets T1 (long red footway) at the lower-left endpoint. Nearly half of R1 (ref_aln=0.475) lies collinear on top of T1's continuation along the same corridor; both are footway class and run the same direction over the aligned span. Overlap is small (~8.7m) and tgt_aln is low, but per MI-3/MI-5 a short same-direction, same-role subline on the same traveled way is a valid junction-anchor match and low overlap alone does not defeat it. Only Option A offers this edge and it exactly represents the accepted set.","[[""02862f65-405c-412e-b907-01bef8d81725"", ""sea_sidewalk_301523_8828d54289""]]",31.62,2026-07-18T11:35:05.612110+00:00,,,,,"{""asset_count"":2,""asset_set_sha256"":""d08be4d7cde58ea408075f612dde78baa4d9fa27d119660d691dce565a317408"",""assets"":[{""bytes"":31608,""path"":""option_A.png"",""sha256"":""b3047c0247295277c6e0a91dc4b06085d51c55c0401727386f2b7acf28ba3133""},{""bytes"":30829,""path"":""overview.png"",""sha256"":""0e849b1646440e209a5c54f1c9c9056f8c415c4c611ee2f627f6bfcbe0f796a8""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",89e56ab8637d55506fe6b20c8acce9eb35131ac2aca9afc2cb81b15e24b6b39e,e80eb9b2d007520bd261eb80b0ec7be7aef4d4a8aebb2bc4b3a3a5b002f405c9,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,c217d04898caaca6125650af63dd3d225db8181a75b029693224192c5fb7a119,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
us_seattle_sidewalks_bulk_v7_20260718,049a5b57,codex,gpt-5.6-sol,A,0.96,"R1 and T1 are collinear, same-direction footway representations of the same traveled way. Their 8.7 m overlap is substantial on R1 and forms a valid same-role junction anchor despite covering little of the longer T1.","[[""02862f65-405c-412e-b907-01bef8d81725"", ""sea_sidewalk_301523_8828d54289""]]",35.66,2026-07-18T11:35:09.658352+00:00,,,,,"{""asset_count"":2,""asset_set_sha256"":""d08be4d7cde58ea408075f612dde78baa4d9fa27d119660d691dce565a317408"",""assets"":[{""bytes"":31608,""path"":""option_A.png"",""sha256"":""b3047c0247295277c6e0a91dc4b06085d51c55c0401727386f2b7acf28ba3133""},{""bytes"":30829,""path"":""overview.png"",""sha256"":""0e849b1646440e209a5c54f1c9c9056f8c415c4c611ee2f627f6bfcbe0f796a8""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""codex:-i""}",89e56ab8637d55506fe6b20c8acce9eb35131ac2aca9afc2cb81b15e24b6b39e,e80eb9b2d007520bd261eb80b0ec7be7aef4d4a8aebb2bc4b3a3a5b002f405c9,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,c217d04898caaca6125650af63dd3d225db8181a75b029693224192c5fb7a119,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
us_seattle_sidewalks_bulk_v7_20260718,049a5b57,muse,meta/muse-spark-1.1,A,0.68,"Both R1 and T1 are footway, same role. Overview and option image show same-direction NE-SW alignment on same corridor with 8.7m overlap; green tie at SW end is short, indicating co-location not lateral offset. ref_aln 0.475 and tgt_aln 0.062 reflect M:N segmentation (short ref ~18m vs long target ~140m) per MI-2, not role mismatch. Small overlap is a same-direction, same-role subline on the same traveled way, allowable as junction anchor per MI-3. No evidence of separately-mapped parallel sidewalk/curtrack or perpendicular crossing. Replacement test MI-6 passes: swapping the 8.7m sublines does not change ALONG intent. Low conf 0.118 is evidence only per MI-5, not a verdict.","[[""02862f65-405c-412e-b907-01bef8d81725"", ""sea_sidewalk_301523_8828d54289""]]",36.96,2026-07-18T11:35:10.963895+00:00,,,,,"{""asset_count"":2,""asset_set_sha256"":""d08be4d7cde58ea408075f612dde78baa4d9fa27d119660d691dce565a317408"",""assets"":[{""bytes"":31608,""path"":""option_A.png"",""sha256"":""b3047c0247295277c6e0a91dc4b06085d51c55c0401727386f2b7acf28ba3133""},{""bytes"":30829,""path"":""overview.png"",""sha256"":""0e849b1646440e209a5c54f1c9c9056f8c415c4c611ee2f627f6bfcbe0f796a8""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""opencode:-f""}",89e56ab8637d55506fe6b20c8acce9eb35131ac2aca9afc2cb81b15e24b6b39e,e80eb9b2d007520bd261eb80b0ec7be7aef4d4a8aebb2bc4b3a3a5b002f405c9,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,c217d04898caaca6125650af63dd3d225db8181a75b029693224192c5fb7a119,6f4900ad47c3e412acefb7cffa8a1262e3463c30d4fe5fa923a07ac7a29611b5,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
us_seattle_sidewalks_bulk_v7_20260718,3917622c,claude,claude-opus-4-8,B,0.58,"Two coincident footway centerlines each split into two segments with offset split points. R2->T1 (e2, 94.7m) is the main same-way alignment. The reference split sits above the target split, so short R1 spans the junction and physically overlaps both T2 (e1, 9.6m) and the tail of T1 (e3, 5.8m / 28.5% of R1). All three are same-direction, same-role footway overlaps on the same traveled way; e3 is not SLIVER and does not conflict with e1 (M:N permits R1 matching both target splits). Per MI-2/SA-2 preserve the full M:N structure rather than the simpler optimizer set A. Full accepted set = {e1, e2, e3} = Option B.","[[""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_302913_8828d555b5""], [""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_331142_8828d555b5""], [""b78ef90c-d5ed-4eba-892e-ff006dc98b46"", ""sea_sidewalk_302913_8828d555b5""]]",81.56,2026-07-18T11:36:32.597621+00:00,,,,,"{""asset_count"":8,""asset_set_sha256"":""534f45c32ac599d82a0988e24e26b55e7ce88486c7f54079feecefd01618a773"",""assets"":[{""bytes"":39532,""path"":""option_A.png"",""sha256"":""6bbc424360bdb7c8be044ad800d297b0261a505810c5ddc6e09e75110af5837d""},{""bytes"":39585,""path"":""option_B.png"",""sha256"":""44483e10ba7f52c3ced736a3f64847c2581e9b933338d912efa71731c27fb99d""},{""bytes"":39298,""path"":""option_C.png"",""sha256"":""f70970b3c9b6cab7ba63b5bf25af31e21ce4bb4fbd281a0c3cbf0ef6bcc814e2""},{""bytes"":39134,""path"":""option_D.png"",""sha256"":""7410d6692704498db47b08fa5087f8075009218b0e0140cbea445d788d7bb8e1""},{""bytes"":38900,""path"":""option_E.png"",""sha256"":""77abab46264179946b5040761a729db0d0666148f19d2c434bb149189678d95c""},{""bytes"":39003,""path"":""option_F.png"",""sha256"":""1d71a8c55b956a8f9ab6c9f0555448800e2bc78223a6945aa35fcaed7fc03cde""},{""bytes"":38642,""path"":""option_G.png"",""sha256"":""23a91f8293067f1219a580aa32525e2b89decc2b124b0ac4dbafeaaa2fcb52be""},{""bytes"":38238,""path"":""overview.png"",""sha256"":""c3cc479aeceba8737dcdbf8b21924717d09be6414f1fddfd1e65ea432310b842""}],""delivery_mode"":""prompt_path_read"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""claude:Read""}",0bb583f199686ef0b435256d9bd685e76169396698fd745674921f298504d8f7,a4173f35524c68a7a7c668e9049dc7d759ea0df470fdc30929840b63044c9af9,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,2413610af6604da938567da01e7c2507b29c33fbc62e338baa3d81394e2a8583,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
us_seattle_sidewalks_bulk_v7_20260718,3917622c,codex,gpt-5.6-sol,B,0.99,"All three edges are collinear, same-role footway matches on one continuous traveled way. R2-T1 provides the main corridor match; R1-T1 is a valid short junction/segmentation anchor, with its T1 coverage complementing R2-T1 to approximately 100%; and R1-T2 continues across the differing split point. This is legitimate M:N segmentation structure, so all edges must be preserved.","[[""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_302913_8828d555b5""], [""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_331142_8828d555b5""], [""b78ef90c-d5ed-4eba-892e-ff006dc98b46"", ""sea_sidewalk_302913_8828d555b5""]]",46.73,2026-07-18T11:35:57.764873+00:00,,,,,"{""asset_count"":8,""asset_set_sha256"":""534f45c32ac599d82a0988e24e26b55e7ce88486c7f54079feecefd01618a773"",""assets"":[{""bytes"":39532,""path"":""option_A.png"",""sha256"":""6bbc424360bdb7c8be044ad800d297b0261a505810c5ddc6e09e75110af5837d""},{""bytes"":39585,""path"":""option_B.png"",""sha256"":""44483e10ba7f52c3ced736a3f64847c2581e9b933338d912efa71731c27fb99d""},{""bytes"":39298,""path"":""option_C.png"",""sha256"":""f70970b3c9b6cab7ba63b5bf25af31e21ce4bb4fbd281a0c3cbf0ef6bcc814e2""},{""bytes"":39134,""path"":""option_D.png"",""sha256"":""7410d6692704498db47b08fa5087f8075009218b0e0140cbea445d788d7bb8e1""},{""bytes"":38900,""path"":""option_E.png"",""sha256"":""77abab46264179946b5040761a729db0d0666148f19d2c434bb149189678d95c""},{""bytes"":39003,""path"":""option_F.png"",""sha256"":""1d71a8c55b956a8f9ab6c9f0555448800e2bc78223a6945aa35fcaed7fc03cde""},{""bytes"":38642,""path"":""option_G.png"",""sha256"":""23a91f8293067f1219a580aa32525e2b89decc2b124b0ac4dbafeaaa2fcb52be""},{""bytes"":38238,""path"":""overview.png"",""sha256"":""c3cc479aeceba8737dcdbf8b21924717d09be6414f1fddfd1e65ea432310b842""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""codex:-i""}",0bb583f199686ef0b435256d9bd685e76169396698fd745674921f298504d8f7,a4173f35524c68a7a7c668e9049dc7d759ea0df470fdc30929840b63044c9af9,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,2413610af6604da938567da01e7c2507b29c33fbc62e338baa3d81394e2a8583,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
us_seattle_sidewalks_bulk_v7_20260718,3917622c,muse,meta/muse-spark-1.1,A,0.93,"Identity first: e2 R2->T1 has 94.7m overlap, T1 95% covered, same north-of-intersection footway - clear same-way ALONG match. e1 R1->T2 has 9.6m overlap with 47% R1 / 36% T2 coverage, both segments lie south of the E-W road crossing - same southern footway, conf 0.958. e3 R1->T1 is a 5.8m / 5.8% target sliver crossing the intersection (south ref vs north target) - endpoint touch, not same continuous alignment, low conf 0.738. The clean partition is north-north and south-south, preserving two assignment components, which is Option A.","[[""78c94ee7-7ab1-4334-876e-d3066ebece81"", ""sea_sidewalk_331142_8828d555b5""], [""b78ef90c-d5ed-4eba-892e-ff006dc98b46"", ""sea_sidewalk_302913_8828d555b5""]]",43.25,2026-07-18T11:35:54.287318+00:00,,,,,"{""asset_count"":8,""asset_set_sha256"":""534f45c32ac599d82a0988e24e26b55e7ce88486c7f54079feecefd01618a773"",""assets"":[{""bytes"":39532,""path"":""option_A.png"",""sha256"":""6bbc424360bdb7c8be044ad800d297b0261a505810c5ddc6e09e75110af5837d""},{""bytes"":39585,""path"":""option_B.png"",""sha256"":""44483e10ba7f52c3ced736a3f64847c2581e9b933338d912efa71731c27fb99d""},{""bytes"":39298,""path"":""option_C.png"",""sha256"":""f70970b3c9b6cab7ba63b5bf25af31e21ce4bb4fbd281a0c3cbf0ef6bcc814e2""},{""bytes"":39134,""path"":""option_D.png"",""sha256"":""7410d6692704498db47b08fa5087f8075009218b0e0140cbea445d788d7bb8e1""},{""bytes"":38900,""path"":""option_E.png"",""sha256"":""77abab46264179946b5040761a729db0d0666148f19d2c434bb149189678d95c""},{""bytes"":39003,""path"":""option_F.png"",""sha256"":""1d71a8c55b956a8f9ab6c9f0555448800e2bc78223a6945aa35fcaed7fc03cde""},{""bytes"":38642,""path"":""option_G.png"",""sha256"":""23a91f8293067f1219a580aa32525e2b89decc2b124b0ac4dbafeaaa2fcb52be""},{""bytes"":38238,""path"":""overview.png"",""sha256"":""c3cc479aeceba8737dcdbf8b21924717d09be6414f1fddfd1e65ea432310b842""}],""delivery_mode"":""native_cli_attachment"",""preflight_status"":""passed"",""schema_version"":1,""transport"":""opencode:-f""}",0bb583f199686ef0b435256d9bd685e76169396698fd745674921f298504d8f7,a4173f35524c68a7a7c668e9049dc7d759ea0df470fdc30929840b63044c9af9,3ffcbde9ef7904377f8f9bf8d1dfa3e236a240185c8927a90706d1b60c790d26,2413610af6604da938567da01e7c2507b29c33fbc62e338baa3d81394e2a8583,3899a2158b80990b1eac4b119c6dcfb590e6fd9008bdbed8c52a2224a7dbcaeb,198a055236ae10b885465e07ab75ab4c6f3924745d3a398809325e9eb359ac1c,1.0,,
