ref_id,target_id,label,confidence,reasoning,labeler,dataset
916a0c15-78c9-4c30-9d66-57c16ec42bd1,boston_bike_2900,no_match,0.85,Road and cycleway are distinct features with significant offset geometry,claude_haiku,boston_bikes
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,no_match,0.85,Parallel offset features: footway and bike path are distinct transportation facilities,claude_haiku_lowres,boston_bikes
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,no_match,0.82,Target segment 2.2x longer with poor spatial overlap (buffer_iou 0.37) despite same road name,claude_haiku_lowres,boston_bikes
3f4d080b-0c5c-4f25-8f67-5004ab9fa2b5,boston_bike_3179,match,0.85,Strong geometric overlap on same bridge structure; class difference reflects dataset modeling not separate features,claude_haiku_lowres,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,no_match,0.78,Parallel bike facility offset from road centerline; cycleway separate from primary road,claude_haiku_lowres,boston_bikes
640e0b5a-ffba-4404-a006-43659dd43466,boston_bike_325,no_match,0.85,Parallel but offset features: footway and separate bike facility are distinct transportation elements,claude_haiku_lowres,boston_bikes
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,match,0.72,Parallel segments on same road with lateral offset,codex,boston_bikes
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,no_match,0.68,Parallel but offset with different endpoints,codex,boston_bikes
3f4d080b-0c5c-4f25-8f67-5004ab9fa2b5,boston_bike_3179,match,0.88,Strong geometric overlap and similar shape with minor offset likely same shared use bridge,codex,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,match,0.78,Same street name and nearly parallel overlapping geometry with small heading difference and offset consistent with bike facility alignment,codex,boston_bikes
640e0b5a-ffba-4404-a006-43659dd43466,boston_bike_325,no_match,0.78,Segments are parallel but clearly offset on different alignments suggesting different facilities likely sidewalk versus street,codex,boston_bikes
87d5fc65-7a29-422a-9473-93dd243f5acf,boston_bike_685,match,0.98,Segments overlap closely with near identical heading and endpoints,codex,boston_bikes
8ea0fd06-5e32-45d4-bfd6-1ca46a01ae9c,boston_bike_2169,no_match,0.72,Parallel but consistently offset suggests different facility like sidewalk versus roadway,codex,boston_bikes
916a0c15-78c9-4c30-9d66-57c16ec42bd1,boston_bike_2900,match,0.78,Same street name with strong parallel overlap indicating same road corridor,codex,boston_bikes
bb8e9942-ef3b-4588-a112-f98848f19307,boston_bike_714,match,0.5,parsed,codex,boston_bikes
beb5eca9-7fa3-4af2-80e4-4679ebf67647,boston_bike_1803,match,0.5,parsed,codex,boston_bikes
d7690b28-4210-4b20-8de6-287d7c7bfed9,boston_bike_2428,match,0.5,parsed,codex,boston_bikes
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,no_match,0.85,Footway vs bike facility are different feature types despite geometric alignment,claude_haiku_gray,boston_bikes
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,no_match,0.92,Geometries offset with poor alignment (buffer_iou=0.37); different lengths (30m vs 67m); different feature types (road vs bike),claude_haiku_gray,boston_bikes
3f4d080b-0c5c-4f25-8f67-5004ab9fa2b5,boston_bike_3179,no_match,0.75,Different feature types (cycleway vs path) on same bridge infrastructure,claude_haiku_gray,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,no_match,0.85,Separate cycleway facility with poor geometric alignment; not same feature as primary road,claude_haiku_gray,boston_bikes
640e0b5a-ffba-4404-a006-43659dd43466,boston_bike_325,no_match,0.85,Footway and bike facility are distinct features despite alignment; offset ~7m suggests parallel adjacent paths,claude_haiku_gray,boston_bikes
